Column1;Review;Category;Sentiment
254;La comida, que antes era excelente, de capa caída.;comida;2
255;Poco simpáticos.no había vuelto desde la última vez,hace a lo major 2 años.;servicio;1
256;La mejor carne que he probado, todos los camareros muy amables y el sitio era muy agradable.;comida;5
257;No podría haber cenado mejor;comida;5
258;MEJOR IMPOSIBLE.El sitio, la comida, el servicio.. Un 10.Todo buenisimo!!!;servicio;5
259;De los mejores sitios a nivel de todo que he visitado, comida muy rica, servicio muy atento y educados, el sitio y el entorno de 10 no, de 12, relacion calidad precio no puede ser mejor y en verano que nunca he estado tiene que;servicio;5
260;Sitio elegante, algo caro, pero sigue siendo el Filandon.;precio;2
261;Es algo caro pero la calidad de;precio;2
262;La comida en general bien, pero las famosos patas de pulpo, una de ellas disecada y;comida;1
263;Lamento profundamente la imagen que tengo de impotencia de este restaurante después de mi visita el pasado 26 de febrero, que como siempre estaba al completo.Comento lo ocurrido, pedí una copa de vino de la casa, el camarero me indico que no había de;servicio;1
264;El entorno sobresaliente, la atención sobresaliente la comida sobresaliente.Tomamos Al centro un plato de jamón ibérico, unas alcachofas;servicio;5
265;Un caos de organización, para no aburriros sólo dos datos,;servicio;1
266;La atención es muy buena, desde que te reciben en la entrada hasta que sales.;servicio;5
267;En cuanto a la comida, todo es de primera calidad.;comida;5
268;Restaurante de moda con muy buen ambiente y trato agradable.;servicio;5
269;El fallo, el precio, muy hinchado tanto en la carta de comidas como en la;precio;2
270;PEXPECTACULAR, el precio,la atención y la calidad de los productos, probamos los pescados  a la brasa  las croquetas de bogavante impresionantes;servicio;5
271;Es excepcional la atención que recibo siempre siempre, por parte de Alex, una de las recepcionistas;servicio;5
